Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
172,-0.0291,0.0082,1.0402,0.0087,-0.0009,-0.0017
173,-0.0278,0.0073,1.0377,0.0123,-0.0016,-0.0027
174,-0.0261,0.0087,1.041,0.0087,-0.0012,-0.0007
175,-0.0258,0.0103,1.0398,0.0095,-0.0001,-0.0023
176,-0.0299,0.0082,1.0409,0.0077,-0.0003,-0.0033
177,-0.0278,0.0092,1.0403,0.0111,-0.0029,-0.0019
178,-0.03,0.0111,1.0402,0.0096,-0.0029,-0.0039
179,-0.0293,0.0109,1.0396,0.01,-0.0039,-0.0015
180,-0.0293,0.0122,1.0391,0.0087,-0.0016,-0.0013
181,-0.0291,0.0125,1.0358,0.0096,-0.0019,-0.0015
182,-0.0269,0.0088,1.0388,0.008,-0.0001,-0.002
183,-0.0251,0.012,1.0411,0.01,-0.0024,-0.0029
184,-0.0271,0.0126,1.0419,0.0083,-0.0023,0.0
185,-0.0286,0.0114,1.0424,0.0067,-0.0029,-0.0029
186,-0.0278,0.009,1.0382,0.0146,-0.0048,-0.0027
187,-0.027,0.0095,1.0438,0.0095,-0.004,-0.0037
188,-0.0298,0.0087,1.0396,0.0083,-0.0008,-0.0004
189,-0.0264,0.0133,1.0397,0.0091,-0.0023,-0.0035
190,-0.0278,0.0103,1.033,0.012,-0.0005,-0.0029
191,-0.0258,0.0107,1.0388,0.0085,-0.0044,-0.0025
192,-0.0306,0.01,1.0344,0.0111,-0.0021,-0.0008
193,-0.0293,0.0112,1.0375,0.0085,-0.0033,-0.0012
194,-0.0295,0.0087,1.033,0.01,-0.0015,-0.0028
195,-0.0273,0.0109,1.0413,0.0104,-0.0008,-0.0029
196,-0.0282,0.0093,1.0347,0.0101,-0.0032,-0.0035
197,-0.0272,0.0112,1.0382,0.0075,-0.0027,-0.0013
198,-0.0289,0.0093,1.037,0.0109,-0.0048,-0.0041
199,-0.0292,0.0089,1.0375,0.0092,-0.0039,-0.0037
200,-0.0264,0.0101,1.0382,0.0083,-0.0037,-0.0013
201,-0.0284,0.0115,1.0358,0.0121,-0.0017,-0.0029
202,-0.0276,0.0098,1.0327,0.0111,-0.0029,0.0
203,-0.0282,0.0093,1.0356,0.0093,-0.0017,-0.0019
204,-0.028,0.0094,1.0343,0.0064,-0.0015,-0.0024
205,-0.0305,0.0134,1.0293,0.0084,-0.0024,-0.0035
206,-0.0297,0.0109,1.0336,0.0101,-0.0023,-0.0009
207,-0.0265,0.0101,1.037,0.0075,-0.0036,-0.0001
208,-0.028,0.011,1.037,0.0089,-0.0036,-0.0035
209,-0.0288,0.0115,1.0375,0.0068,-0.0045,-0.0011
210,-0.0273,0.0121,1.0405,0.01,-0.0037,-0.0011
211,-0.0281,0.0084,1.041,0.0083,-0.0041,-0.0039
212,-0.0275,0.011,1.0383,0.0083,-0.0028,-0.0025
213,-0.0294,0.0089,1.0308,0.0075,-0.0016,-0.0032
214,-0.0261,0.0101,1.0334,0.0073,-0.0021,-0.0037
215,-0.0304,0.0098,1.0364,0.0113,-0.0025,-0.0024
216,-0.028,0.0089,1.0393,0.0124,-0.0035,-0.0015
217,-0.0272,0.0115,1.0381,0.0096,-0.0019,-0.0024
218,-0.0281,0.0116,1.0371,0.0084,-0.0017,-0.0015
219,-0.0275,0.0129,1.0361,0.0089,-0.0027,-0.0004
220,-0.0309,0.0103,1.0403,0.0084,-0.0032,-0.0003
221,-0.0283,0.0118,1.0414,0.0126,-0.0021,-0.0023
222,-0.0282,0.011,1.0405,0.0075,-0.004,-0.0019
223,-0.0284,0.0089,1.0409,0.0093,-0.0025,-0.0025
224,-0.0297,0.0129,1.0403,0.0107,-0.0025,-0.0007
225,-0.0266,0.0095,1.0377,0.0096,-0.0016,-0.0015
226,-0.0273,0.0116,1.0394,0.0111,-0.0011,-0.0035
227,-0.0299,0.0077,1.038,0.0061,-0.0037,-0.0024
228,-0.0289,0.0123,1.0393,0.0077,-0.004,-0.0044
229,-0.0298,0.0078,1.0363,0.0108,-0.0032,-0.0033
230,-0.0299,0.0129,1.0393,0.0101,-0.0007,-0.0031
231,-0.0303,0.0083,1.0391,0.0092,-0.0045,-0.0027
