Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
67,-0.0165,-0.0162,1.0482,0.0103,-0.002,-0.0013
68,-0.0156,-0.0181,1.0504,0.008,-0.0009,-0.002
69,-0.0158,-0.0186,1.0504,0.0092,-0.0031,-0.0025
70,-0.0153,-0.0197,1.0475,0.0096,-0.0017,-0.002
71,-0.0177,-0.0197,1.0483,0.0079,-0.0043,-0.002
72,-0.0144,-0.0188,1.0455,0.0083,-0.0013,-0.0031
73,-0.0141,-0.0228,1.0491,0.0107,-0.0015,-0.0004
74,-0.0154,-0.0218,1.0487,0.0075,-0.0013,-0.0021
75,-0.0147,-0.0203,1.0467,0.0084,-0.0017,-0.0019
76,-0.0163,-0.0203,1.0498,0.0072,-0.0037,-0.0013
77,-0.0158,-0.0201,1.0478,0.0075,-0.0028,-0.0028
78,-0.016,-0.0193,1.0479,0.0089,-0.0039,-0.0019
79,-0.0164,-0.0211,1.0513,0.0109,-0.0028,-0.0019
80,-0.0168,-0.019,1.0455,0.0117,-0.0025,-0.0025
81,-0.0153,-0.0189,1.0495,0.0107,0.0019,-0.0013
82,-0.0165,-0.0198,1.0458,0.0111,0.0007,-0.0017
83,-0.0135,-0.0202,1.0478,0.0089,-0.0032,-0.0019
84,-0.0179,-0.0211,1.0471,0.0076,-0.0027,-0.0021
85,-0.0162,-0.0204,1.0476,0.0091,-0.0033,-0.0013
86,-0.0179,-0.0206,1.0484,0.0105,-0.0037,-0.0025
87,-0.0163,-0.0185,1.0482,0.0071,-0.0013,-0.0012
88,-0.0149,-0.0206,1.0495,0.0075,-0.0031,-0.0024
89,-0.0162,-0.0196,1.0502,0.0089,-0.0003,-0.0035
90,-0.0162,-0.0213,1.0492,0.0077,-0.0029,-0.0028
91,-0.0133,-0.0197,1.0462,0.0092,-0.0021,-0.0007
92,-0.0162,-0.0195,1.0475,0.0093,-0.0017,-0.0021
93,-0.0159,-0.0196,1.048,0.0077,0.0008,-0.0025
94,-0.0154,-0.0189,1.0491,0.0092,-0.0023,-0.0019
95,-0.0156,-0.0214,1.0475,0.0097,-0.0001,-0.0032
96,-0.0151,-0.0205,1.0435,0.0079,-0.0021,-0.0015
97,-0.0154,-0.0198,1.0482,0.0088,-0.0017,-0.0012
98,-0.017,-0.019,1.0488,0.0063,-0.0012,-0.0013
99,-0.0164,-0.022,1.0479,0.0072,-0.0044,-0.0015
100,-0.0159,-0.0195,1.0493,0.0065,-0.0025,-0.0012
101,-0.0147,-0.0222,1.0481,0.0087,-0.0021,-0.0019
102,-0.0152,-0.0185,1.0453,0.0087,-0.0008,-0.0021
103,-0.0147,-0.018,1.0486,0.0103,-0.0016,-0.0027
104,-0.0179,-0.0196,1.0468,0.0109,-0.0001,-0.0013
105,-0.0158,-0.018,1.0481,0.0081,-0.004,-0.0023
106,-0.015,-0.0206,1.0475,0.0092,-0.0036,-0.0033
107,-0.0162,-0.0217,1.0433,0.0067,-0.0049,-0.0013
108,-0.0142,-0.0198,1.0487,0.0088,-0.0032,-0.0021
109,-0.0159,-0.0189,1.0462,0.0059,-0.0015,-0.0008
110,-0.0152,-0.0208,1.0491,0.0068,-0.0037,-0.002
111,-0.0153,-0.0176,1.0471,0.0059,-0.0017,-0.0017
112,-0.0164,-0.0336,1.0483,0.0085,-0.0028,0.0036
113,-0.0134,-0.0027,1.0452,0.0268,0.0096,-0.0024
114,-0.0142,-0.0229,1.0471,0.0019,-0.0059,-0.017
115,-0.02,-0.0237,1.0496,0.0016,-0.0073,0.0049
116,-0.0308,-0.0137,1.0475,0.0108,0.0023,0.0136
117,-0.0228,-0.0259,1.0516,0.0032,-0.0068,-0.013
118,-0.0122,-0.026,1.0445,0.002,-0.0174,-0.0093
119,-0.004,-0.0174,1.0469,0.0109,-0.0071,0.0019
120,-0.0017,-0.017,1.0458,0.0084,-0.0011,-0.0025
121,-0.0092,-0.0219,1.0483,0.0029,0.0003,-0.0097
122,-0.0186,-0.0164,1.0469,0.0061,0.0028,-0.0072
