Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
2,0.0357,0.1113,1.0454,0.0111,-0.0044,-0.0003
3,0.0352,0.1088,1.0444,0.0113,0.0004,-0.0009
4,0.0334,0.1096,1.0437,0.0071,-0.0047,-0.0013
5,0.0366,0.1098,1.0457,0.01,-0.0045,-0.0025
6,0.0366,0.1082,1.0438,0.0091,-0.0024,-0.0011
7,0.0342,0.1074,1.0432,0.0084,-0.0027,-0.0027
8,0.0352,0.109,1.0449,0.0061,-0.0023,-0.0012
9,0.0349,0.1081,1.0428,0.0055,-0.0027,0.0
10,0.0347,0.1105,1.0457,0.0124,-0.0009,-0.0019
11,0.0363,0.1104,1.0442,0.0065,-0.0012,-0.0008
12,0.0341,0.1105,1.0447,0.0067,-0.0027,-0.0017
13,0.0342,0.1085,1.0413,0.0103,-0.0043,-0.002
14,0.0358,0.1107,1.0429,0.0134,-0.0017,-0.0021
15,0.0351,0.1127,1.0441,0.0096,-0.0045,-0.002
16,0.0353,0.1081,1.0423,0.0067,-0.004,-0.0024
17,0.0366,0.1075,1.0449,0.0087,-0.0028,-0.0029
18,0.0346,0.1087,1.0475,0.0101,-0.002,-0.0012
19,0.0358,0.1099,1.0451,0.0089,-0.0041,-0.0019
20,0.0348,0.1083,1.0422,0.0075,-0.0037,0.0
21,0.0352,0.1109,1.0444,0.0099,-0.0024,-0.0009
22,0.035,0.1098,1.043,0.0071,-0.0025,-0.002
23,0.0361,0.1072,1.045,0.0068,-0.0029,-0.0023
24,0.0331,0.1082,1.0449,0.0103,-0.0036,-0.0019
25,0.0353,0.108,1.045,0.0077,-0.0019,-0.0025
26,0.0347,0.1076,1.0434,0.0101,-0.0025,-0.0021
27,0.0336,0.1088,1.0432,0.0065,-0.0044,-0.0015
28,0.036,0.1118,1.0434,0.0083,-0.0029,-0.0019
29,0.0348,0.1075,1.0444,0.0096,-0.0032,-0.0031
30,0.0328,0.1103,1.0439,0.0091,-0.0028,-0.0016
31,0.0347,0.1099,1.0431,0.0075,-0.0037,-0.0008
32,0.0352,0.1077,1.0475,0.0133,-0.0033,-0.0009
33,0.0366,0.1082,1.0457,0.0123,-0.0019,-0.0003
34,0.037,0.1084,1.0451,0.01,-0.0045,-0.0024
35,0.0369,0.1063,1.045,0.0081,-0.0029,-0.0044
